record_key	sources	pmid	doi	title	decision	primary_reason	full_text_or_code_assessed	freeze_date
doi:10.3332/ecancer.2026.2138	citation_snowball		10.3332/ecancer.2026.2138	Incidence of pathologically positive lymph node in clinico-radiologic T4b oral squamous cell carcinoma: a meta-analysis	exclude	review_or_secondary_source	no	2026-07-12
doi:10.3348/kjr.2026.0555	citation_snowball		10.3348/kjr.2026.0555	Comments on “Association of T2-Weighted Imaging Features in Invasive Breast Cancer With Clinicopathologic Features and Neoadjuvant Treatment Outcomes”	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.3389/fimmu.2026.1652739	citation_snowball		10.3389/fimmu.2026.1652739	Identification and validation of biomarkers related to mismatch repair for prognosis prediction in glioma	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.3389/fimmu.2026.1850228	Semantic_Scholar_top100		10.3389/fimmu.2026.1850228	Immune evolution and therapeutic vulnerabilities in thyroid cancer: from inflammation to immune escape	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
doi:10.3389/fimmu.2026.1865105	citation_snowball		10.3389/fimmu.2026.1865105	Integrated genomic and immunophenotypic profiling reveals monoclonal origin, smoking-driven evolution and heterogeneous microenvironment in pulmonary adenosquamous carcinoma	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.3389/fphar.2026.1789743	citation_snowball		10.3389/fphar.2026.1789743	A RAIR–ATC transcriptional axis and multimodal drug-response modelling reveal class-level vulnerabilities in thyroid cancer	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.3390/biology15131004	citation_snowball		10.3390/biology15131004	Exploratory Machine Learning and Omics Integration in the Search for Biomarkers of Papillary Thyroid Cancer	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.3390/biomedicines14061222	citation_snowball		10.3390/biomedicines14061222	FOXP Transcription Factors in Thyroid Cancer: From Molecular Expression to Clinical Significance	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.3390/cancers18111738	citation_snowball		10.3390/cancers18111738	Improved Preoperative Diagnosis of Medullary Thyroid Carcinoma Using Dual-Mode Ultrasound Radiomics	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.3390/cancers18111814	citation_snowball		10.3390/cancers18111814	The Role of Cytology, Histology and Molecular Pathology in the Diagnostic Process of Thyroid Nodules	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.3390/cimb48060628	citation_snowball		10.3390/cimb48060628	Real-World Evaluation of Next-Generation Sequencing in Lung Cancer: Associations Between Histological Subtypes and Genomic Alterations	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.3390/curroncol33060372	citation_snowball		10.3390/curroncol33060372	Next-Generation Sequencing in Differentiated Thyroid Cancer Patients Treated with Lenvatinib: Results and Challenges in Real-Life Practice	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.3390/genes17060645	citation_snowball		10.3390/genes17060645	The Correlation Between the Presence of BRAFV600E and TERT Promoter Mutation and the Response to Treatment with Iodine 131 in Differentiated Thyroid Cancer Patients	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.3390/ijms27114797	citation_snowball		10.3390/ijms27114797	A Metabolic-Related Gene Signature for Predicting Biochemical Recurrence After Radical Prostatectomy: An Integrative Analysis and Targeted Therapeutic Validation	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.3390/jcm15145382	citation_snowball		10.3390/jcm15145382	Development and Validation of an Immune-Related Prognostic Signature for Laryngeal Squamous Cell Carcinoma	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.34172/apb.46975	citation_snowball		10.34172/apb.46975	Molecular And Clinical Significance of PDGFR Family in Papillary Thyroid Cancer: A Systematic Review	exclude	review_or_secondary_source	no	2026-07-12
